_	Id	CreatedDate	Type__c	IdAgent__c	EntreeClients__c	MessageErreur__c	DureeAppelAPI__c	NbClientsEntree__c	NbContactsSortie__c	CodePosteMetier__c		recordtypeId
[GOCC_MuleAPI_Log__c]	a01AP00000OCZaeYAH	2024-07-15T08:53:48.000+0000	LoadTime				3			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OEk8UYAT	2024-07-15T08:53:48.000+0000	LoadTime				10			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OF2OgYAL	2024-07-15T08:53:48.000+0000	LoadTime				2			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OFijCYAT	2024-07-15T15:10:45.000+0000	LoadTime				6			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OFjnFYAT	2024-07-15T15:10:54.000+0000	LoadTime				4			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGBjNYAX	2024-07-15T14:04:48.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGP6VYAX	2024-07-15T15:14:06.000+0000	LoadTime				13			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGYxaYAH	2024-07-15T14:39:33.000+0000	LoadTime				8			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGgbqYAD	2024-07-15T14:39:43.000+0000	LoadTime				5			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGgiEYAT	2024-07-15T14:39:37.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGl6oYAD	2024-07-15T15:10:29.000+0000	LoadTime				45			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGl6pYAD	2024-07-15T15:10:55.000+0000	LoadTime				7			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OGovtYAD	2024-07-15T15:10:43.000+0000	LoadTime				20			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJW5LYAX	2024-07-16T09:10:08.000+0000	LoadTime				5			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJfJNYA1	2024-07-16T08:37:43.000+0000	LoadTime				19			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJfKzYAL	2024-07-16T08:37:43.000+0000	LoadTime				11			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJo1kYAD	2024-07-16T09:10:03.000+0000	LoadTime				18			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJpc5YAD	2024-07-16T09:10:06.000+0000	LoadTime				15			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJpfJYAT	2024-07-16T09:10:14.000+0000	LoadTime				4			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OJt4bYAD	2024-07-16T09:29:48.000+0000	LoadTime				21			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OK6RhYAL	2024-07-16T12:29:14.000+0000	LoadTime				9			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKFK7YAP	2024-07-16T13:13:38.000+0000	LoadTime				19			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKTZXYA5	2024-07-16T12:37:50.000+0000	LoadTime				43			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKYXaYAP	2024-07-16T12:31:56.000+0000	LoadTime				4			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKcxlYAD	2024-07-16T12:31:33.000+0000	LoadTime				10			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKd0zYAD	2024-07-16T12:31:42.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKgy9YAD	2024-07-16T12:48:13.000+0000	LoadTime				21			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKh1NYAT	2024-07-16T12:48:36.000+0000	LoadTime				9			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKhSsYAL	2024-07-16T15:25:12.000+0000	LoadTime				15			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKkGzYAL	2024-07-16T13:02:13.000+0000	LoadTime				8			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKkIbYAL	2024-07-16T13:02:22.000+0000	LoadTime				15			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKokaYAD	2024-07-16T14:21:41.000+0000	LoadTime				6			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKvdqYAD	2024-07-16T14:04:38.000+0000	LoadTime				28			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OKyAKYA1	2024-07-16T15:25:17.000+0000	LoadTime				6			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OL00pYAD	2024-07-16T15:16:11.000+0000	LoadTime				9			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLGgDYAX	2024-07-16T15:28:50.000+0000	LoadTime				5			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLLrRYAX	2024-07-16T14:54:37.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLQw9YAH	2024-07-16T14:52:44.000+0000	LoadTime				14			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLYTtYAP	2024-07-16T15:16:17.000+0000	LoadTime				15			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLZ4zYAH	2024-07-16T15:22:30.000+0000	LoadTime				8			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OLZeTYAX	2024-07-16T15:25:25.000+0000	LoadTime				6			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOAVhYAP	2024-07-17T12:20:23.000+0000	LoadTime				8			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOIm5YAH	2024-07-17T12:20:02.000+0000	LoadTime				29			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOOBWYA5	2024-07-17T12:29:33.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOSiZYAX	2024-07-17T11:55:45.000+0000	LoadTime				9			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOXRfYAP	2024-07-17T11:49:51.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOcW9YAL	2024-07-17T11:49:51.000+0000	LoadTime				3			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOjHVYA1	2024-07-17T12:29:25.000+0000	LoadTime				16			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OOjJ7YAL	2024-07-17T12:29:42.000+0000	LoadTime				8			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OSL5hYAH	2024-07-18T15:25:14.000+0000	LoadTime	63140			22			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OSrV3YAL	2024-07-18T13:26:12.000+0000	LoadTime				30			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OT3PsYAL	2024-07-18T13:11:26.000+0000	LoadTime				2			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OT4UAYA1	2024-07-18T13:11:30.000+0000	LoadTime				5			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTAf5YAH	2024-07-18T15:24:24.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTOPKYA5	2024-07-18T13:26:14.000+0000	LoadTime				5			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTTkVYAX	2024-07-18T15:32:10.000+0000	LoadTime				14			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTm55YAD	2024-07-18T13:11:26.000+0000	LoadTime				2			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTnWVYA1	2024-07-18T15:11:00.000+0000	LoadTime	63140			34			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTnZbYAL	2024-07-18T15:11:00.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OTynlYAD	2024-07-18T13:11:26.000+0000	LoadTime				14			RoleTest		012AP0000022BPdYAM
